size,assignments,comparisons,overall
100,1059,1267,2326
200,2635,3037,5672
300,4299,5024,9323
400,5701,6660,12361
500,7081,8316,15397
600,8898,10442,19340
700,10760,12564,23324
800,12389,14514,26903
900,13822,16229,30051
1000,15787,18473,34260
